relative_path,class_name,label_idx,split
Agriculture/001.jpg,Agriculture,0,train
Agriculture/002.jpg,Agriculture,0,test
Agriculture/003.jpg,Agriculture,0,train
Agriculture/004.jpg,Agriculture,0,train
Agriculture/005.jpg,Agriculture,0,test
Agriculture/006.jpg,Agriculture,0,train
Agriculture/007.jpg,Agriculture,0,train
Agriculture/008.jpg,Agriculture,0,train
Agriculture/009.jpg,Agriculture,0,train
Agriculture/010.jpg,Agriculture,0,train
Agriculture/011.jpg,Agriculture,0,train
Agriculture/012.jpg,Agriculture,0,train
Agriculture/013.jpg,Agriculture,0,train
Agriculture/014.jpg,Agriculture,0,val
Agriculture/015.jpg,Agriculture,0,test
Agriculture/016.jpg,Agriculture,0,train
Agriculture/017.jpg,Agriculture,0,train
Agriculture/018.jpg,Agriculture,0,train
Agriculture/019.jpg,Agriculture,0,train
Agriculture/020.jpg,Agriculture,0,train
Agriculture/021.jpg,Agriculture,0,test
Agriculture/022.jpg,Agriculture,0,val
Agriculture/023.jpg,Agriculture,0,train
Agriculture/024.jpg,Agriculture,0,train
Agriculture/025.jpg,Agriculture,0,train
Agriculture/026.jpg,Agriculture,0,train
Agriculture/027.jpg,Agriculture,0,train
Agriculture/028.jpg,Agriculture,0,val
Agriculture/029.jpg,Agriculture,0,train
Agriculture/030.jpg,Agriculture,0,train
Agriculture/031.jpg,Agriculture,0,train
Agriculture/032.jpg,Agriculture,0,train
Agriculture/033.jpg,Agriculture,0,val
Agriculture/034.jpg,Agriculture,0,train
Agriculture/035.jpg,Agriculture,0,test
Agriculture/036.jpg,Agriculture,0,val
Agriculture/037.jpg,Agriculture,0,train
Agriculture/038.jpg,Agriculture,0,train
Agriculture/039.jpg,Agriculture,0,train
Agriculture/040.jpg,Agriculture,0,train
Agriculture/041.jpg,Agriculture,0,test
Agriculture/042.jpg,Agriculture,0,train
Agriculture/043.jpg,Agriculture,0,train
Agriculture/044.jpg,Agriculture,0,train
Agriculture/045.jpg,Agriculture,0,train
Agriculture/046.jpg,Agriculture,0,train
Agriculture/047.jpg,Agriculture,0,train
Agriculture/048.jpg,Agriculture,0,val
Agriculture/049.jpg,Agriculture,0,train
Agriculture/050.jpg,Agriculture,0,train
Agriculture/051.jpg,Agriculture,0,train
Agriculture/052.jpg,Agriculture,0,train
Agriculture/053.jpg,Agriculture,0,test
Agriculture/054.jpg,Agriculture,0,train
Agriculture/055.jpg,Agriculture,0,train
Agriculture/056.jpg,Agriculture,0,train
Agriculture/057.jpg,Agriculture,0,train
Agriculture/058.jpg,Agriculture,0,train
Agriculture/059.jpg,Agriculture,0,val
Agriculture/060.jpg,Agriculture,0,train
Agriculture/061.jpg,Agriculture,0,train
Agriculture/062.jpg,Agriculture,0,train
Agriculture/063.jpg,Agriculture,0,test
Agriculture/064.jpg,Agriculture,0,train
Agriculture/065.jpg,Agriculture,0,val
Agriculture/066.jpg,Agriculture,0,train
Agriculture/067.jpg,Agriculture,0,train
Agriculture/068.jpg,Agriculture,0,train
Agriculture/069.jpg,Agriculture,0,train
Agriculture/070.jpg,Agriculture,0,train
Agriculture/071.jpg,Agriculture,0,train
Agriculture/072.jpg,Agriculture,0,train
Agriculture/073.jpg,Agriculture,0,train
Agriculture/074.jpg,Agriculture,0,train
Agriculture/075.jpg,Agriculture,0,train
Agriculture/076.jpg,Agriculture,0,train
Agriculture/077.jpg,Agriculture,0,train
Agriculture/078.jpg,Agriculture,0,train
Agriculture/079.jpg,Agriculture,0,train
Agriculture/080.jpg,Agriculture,0,train
Agriculture/081.jpg,Agriculture,0,test
Agriculture/082.jpg,Agriculture,0,train
Agriculture/083.jpg,Agriculture,0,train
Agriculture/084.jpg,Agriculture,0,train
Agriculture/085.jpg,Agriculture,0,train
Agriculture/086.jpg,Agriculture,0,test
Agriculture/087.jpg,Agriculture,0,train
Agriculture/088.jpg,Agriculture,0,train
Agriculture/089.jpg,Agriculture,0,train
Agriculture/090.jpg,Agriculture,0,train
Agriculture/091.jpg,Agriculture,0,train
Agriculture/092.jpg,Agriculture,0,test
Agriculture/093.jpg,Agriculture,0,train
Agriculture/094.jpg,Agriculture,0,train
Agriculture/095.jpg,Agriculture,0,train
Agriculture/096.jpg,Agriculture,0,val
Agriculture/097.jpg,Agriculture,0,train
Agriculture/098.jpg,Agriculture,0,train
Agriculture/099.jpg,Agriculture,0,test
Agriculture/100.jpg,Agriculture,0,train
Agriculture/101.jpg,Agriculture,0,train
Agriculture/102.jpg,Agriculture,0,train
Agriculture/103.jpg,Agriculture,0,train
Agriculture/104.jpg,Agriculture,0,train
Agriculture/105.jpg,Agriculture,0,train
Agriculture/106.jpg,Agriculture,0,test
Agriculture/107.jpg,Agriculture,0,train
Agriculture/108.jpg,Agriculture,0,train
Agriculture/109.jpg,Agriculture,0,train
Agriculture/110.jpg,Agriculture,0,train
Agriculture/111.jpg,Agriculture,0,train
Agriculture/112.jpg,Agriculture,0,train
Agriculture/113.jpg,Agriculture,0,train
Agriculture/114.jpg,Agriculture,0,train
Agriculture/115.jpg,Agriculture,0,train
Agriculture/116.jpg,Agriculture,0,train
Agriculture/117.jpg,Agriculture,0,train
Agriculture/118.jpg,Agriculture,0,train
Agriculture/119.jpg,Agriculture,0,train
Agriculture/120.jpg,Agriculture,0,train
Agriculture/121.jpg,Agriculture,0,train
Agriculture/122.jpg,Agriculture,0,train
Agriculture/123.jpg,Agriculture,0,train
Agriculture/124.jpg,Agriculture,0,train
Agriculture/125.jpg,Agriculture,0,train
Agriculture/126.jpg,Agriculture,0,train
Agriculture/127.jpg,Agriculture,0,train
Agriculture/128.jpg,Agriculture,0,train
Agriculture/129.jpg,Agriculture,0,val
Agriculture/130.jpg,Agriculture,0,train
Agriculture/131.jpg,Agriculture,0,val
Agriculture/132.jpg,Agriculture,0,train
Agriculture/133.jpg,Agriculture,0,train
Agriculture/134.jpg,Agriculture,0,train
Agriculture/135.jpg,Agriculture,0,val
Agriculture/136.jpg,Agriculture,0,train
Agriculture/137.jpg,Agriculture,0,train
Agriculture/138.jpg,Agriculture,0,train
Agriculture/139.jpg,Agriculture,0,test
Agriculture/140.jpg,Agriculture,0,train
Agriculture/141.jpg,Agriculture,0,train
Agriculture/142.jpg,Agriculture,0,train
Agriculture/143.jpg,Agriculture,0,train
Agriculture/144.jpg,Agriculture,0,train
Agriculture/145.jpg,Agriculture,0,train
