relative_path,class_name,label_idx,split,is_human_made,is_water_related,is_vegetation_related,urban_density_proxy
Agriculture/001.jpg,Agriculture,0,train,0,0,1,0
Agriculture/002.jpg,Agriculture,0,test,0,0,1,0
Agriculture/003.jpg,Agriculture,0,train,0,0,1,0
Agriculture/004.jpg,Agriculture,0,train,0,0,1,0
Agriculture/005.jpg,Agriculture,0,test,0,0,1,0
Agriculture/006.jpg,Agriculture,0,train,0,0,1,0
Agriculture/007.jpg,Agriculture,0,train,0,0,1,0
Agriculture/008.jpg,Agriculture,0,train,0,0,1,0
Agriculture/009.jpg,Agriculture,0,train,0,0,1,0
Agriculture/010.jpg,Agriculture,0,train,0,0,1,0
Agriculture/011.jpg,Agriculture,0,train,0,0,1,0
Agriculture/012.jpg,Agriculture,0,train,0,0,1,0
Agriculture/013.jpg,Agriculture,0,train,0,0,1,0
Agriculture/014.jpg,Agriculture,0,val,0,0,1,0
Agriculture/015.jpg,Agriculture,0,test,0,0,1,0
Agriculture/016.jpg,Agriculture,0,train,0,0,1,0
Agriculture/017.jpg,Agriculture,0,train,0,0,1,0
Agriculture/018.jpg,Agriculture,0,train,0,0,1,0
Agriculture/019.jpg,Agriculture,0,train,0,0,1,0
Agriculture/020.jpg,Agriculture,0,train,0,0,1,0
Agriculture/021.jpg,Agriculture,0,test,0,0,1,0
Agriculture/022.jpg,Agriculture,0,val,0,0,1,0
Agriculture/023.jpg,Agriculture,0,train,0,0,1,0
Agriculture/024.jpg,Agriculture,0,train,0,0,1,0
Agriculture/025.jpg,Agriculture,0,train,0,0,1,0
Agriculture/026.jpg,Agriculture,0,train,0,0,1,0
Agriculture/027.jpg,Agriculture,0,train,0,0,1,0
Agriculture/028.jpg,Agriculture,0,val,0,0,1,0
Agriculture/029.jpg,Agriculture,0,train,0,0,1,0
Agriculture/030.jpg,Agriculture,0,train,0,0,1,0
Agriculture/031.jpg,Agriculture,0,train,0,0,1,0
Agriculture/032.jpg,Agriculture,0,train,0,0,1,0
Agriculture/033.jpg,Agriculture,0,val,0,0,1,0
Agriculture/034.jpg,Agriculture,0,train,0,0,1,0
Agriculture/035.jpg,Agriculture,0,test,0,0,1,0
Agriculture/036.jpg,Agriculture,0,val,0,0,1,0
Agriculture/037.jpg,Agriculture,0,train,0,0,1,0
Agriculture/038.jpg,Agriculture,0,train,0,0,1,0
Agriculture/039.jpg,Agriculture,0,train,0,0,1,0
Agriculture/040.jpg,Agriculture,0,train,0,0,1,0
Agriculture/041.jpg,Agriculture,0,test,0,0,1,0
Agriculture/042.jpg,Agriculture,0,train,0,0,1,0
Agriculture/043.jpg,Agriculture,0,train,0,0,1,0
Agriculture/044.jpg,Agriculture,0,train,0,0,1,0
Agriculture/045.jpg,Agriculture,0,train,0,0,1,0
Agriculture/046.jpg,Agriculture,0,train,0,0,1,0
Agriculture/047.jpg,Agriculture,0,train,0,0,1,0
Agriculture/048.jpg,Agriculture,0,val,0,0,1,0
Agriculture/049.jpg,Agriculture,0,train,0,0,1,0
Agriculture/050.jpg,Agriculture,0,train,0,0,1,0
Agriculture/051.jpg,Agriculture,0,train,0,0,1,0
Agriculture/052.jpg,Agriculture,0,train,0,0,1,0
Agriculture/053.jpg,Agriculture,0,test,0,0,1,0
Agriculture/054.jpg,Agriculture,0,train,0,0,1,0
Agriculture/055.jpg,Agriculture,0,train,0,0,1,0
Agriculture/056.jpg,Agriculture,0,train,0,0,1,0
Agriculture/057.jpg,Agriculture,0,train,0,0,1,0
Agriculture/058.jpg,Agriculture,0,train,0,0,1,0
Agriculture/059.jpg,Agriculture,0,val,0,0,1,0
Agriculture/060.jpg,Agriculture,0,train,0,0,1,0
Agriculture/061.jpg,Agriculture,0,train,0,0,1,0
Agriculture/062.jpg,Agriculture,0,train,0,0,1,0
Agriculture/063.jpg,Agriculture,0,test,0,0,1,0
Agriculture/064.jpg,Agriculture,0,train,0,0,1,0
Agriculture/065.jpg,Agriculture,0,val,0,0,1,0
Agriculture/066.jpg,Agriculture,0,train,0,0,1,0
Agriculture/067.jpg,Agriculture,0,train,0,0,1,0
Agriculture/068.jpg,Agriculture,0,train,0,0,1,0
Agriculture/069.jpg,Agriculture,0,train,0,0,1,0
Agriculture/070.jpg,Agriculture,0,train,0,0,1,0
Agriculture/071.jpg,Agriculture,0,train,0,0,1,0
Agriculture/072.jpg,Agriculture,0,train,0,0,1,0
Agriculture/073.jpg,Agriculture,0,train,0,0,1,0
Agriculture/074.jpg,Agriculture,0,train,0,0,1,0
Agriculture/075.jpg,Agriculture,0,train,0,0,1,0
Agriculture/076.jpg,Agriculture,0,train,0,0,1,0
Agriculture/077.jpg,Agriculture,0,train,0,0,1,0
Agriculture/078.jpg,Agriculture,0,train,0,0,1,0
Agriculture/079.jpg,Agriculture,0,train,0,0,1,0
Agriculture/080.jpg,Agriculture,0,train,0,0,1,0
Agriculture/081.jpg,Agriculture,0,test,0,0,1,0
Agriculture/082.jpg,Agriculture,0,train,0,0,1,0
Agriculture/083.jpg,Agriculture,0,train,0,0,1,0
Agriculture/084.jpg,Agriculture,0,train,0,0,1,0
Agriculture/085.jpg,Agriculture,0,train,0,0,1,0
Agriculture/086.jpg,Agriculture,0,test,0,0,1,0
Agriculture/087.jpg,Agriculture,0,train,0,0,1,0
Agriculture/088.jpg,Agriculture,0,train,0,0,1,0
Agriculture/089.jpg,Agriculture,0,train,0,0,1,0
Agriculture/090.jpg,Agriculture,0,train,0,0,1,0
Agriculture/091.jpg,Agriculture,0,train,0,0,1,0
Agriculture/092.jpg,Agriculture,0,test,0,0,1,0
Agriculture/093.jpg,Agriculture,0,train,0,0,1,0
Agriculture/094.jpg,Agriculture,0,train,0,0,1,0
Agriculture/095.jpg,Agriculture,0,train,0,0,1,0
Agriculture/096.jpg,Agriculture,0,val,0,0,1,0
Agriculture/097.jpg,Agriculture,0,train,0,0,1,0
Agriculture/098.jpg,Agriculture,0,train,0,0,1,0
Agriculture/099.jpg,Agriculture,0,test,0,0,1,0
Agriculture/100.jpg,Agriculture,0,train,0,0,1,0
Agriculture/101.jpg,Agriculture,0,train,0,0,1,0
Agriculture/102.jpg,Agriculture,0,train,0,0,1,0
Agriculture/103.jpg,Agriculture,0,train,0,0,1,0
Agriculture/104.jpg,Agriculture,0,train,0,0,1,0
Agriculture/105.jpg,Agriculture,0,train,0,0,1,0
Agriculture/106.jpg,Agriculture,0,test,0,0,1,0
Agriculture/107.jpg,Agriculture,0,train,0,0,1,0
Agriculture/108.jpg,Agriculture,0,train,0,0,1,0
Agriculture/109.jpg,Agriculture,0,train,0,0,1,0
Agriculture/110.jpg,Agriculture,0,train,0,0,1,0
Agriculture/111.jpg,Agriculture,0,train,0,0,1,0
Agriculture/112.jpg,Agriculture,0,train,0,0,1,0
Agriculture/113.jpg,Agriculture,0,train,0,0,1,0
Agriculture/114.jpg,Agriculture,0,train,0,0,1,0
Agriculture/115.jpg,Agriculture,0,train,0,0,1,0
Agriculture/116.jpg,Agriculture,0,train,0,0,1,0
Agriculture/117.jpg,Agriculture,0,train,0,0,1,0
Agriculture/118.jpg,Agriculture,0,train,0,0,1,0
Agriculture/119.jpg,Agriculture,0,train,0,0,1,0
Agriculture/120.jpg,Agriculture,0,train,0,0,1,0
Agriculture/121.jpg,Agriculture,0,train,0,0,1,0
Agriculture/122.jpg,Agriculture,0,train,0,0,1,0
